趟次,场景,场景名称,区间序号,区间,选定等级,规划用时(s),生成曲线用时(s),曲线与规划时间差(s),重量(t),代码规划能耗(kWh),Simu物理机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%)
14,standard_dp,规划后：标准 DP,12,大洋江-泗港,class3,92.0,92.0,0.0,216.94,10.82069,11.219165696574134,0.39847569657413295,3.6825350007636564
14,standard_dp,规划后：标准 DP,13,泗港-曹隘,class4,137.0,137.0,0.0,216.92,23.07768,23.862383800332506,0.7847038003325046,3.4002716058655147
14,standard_dp,规划后：标准 DP,14,曹隘-柳隘,class2,106.0,106.05,0.04999999999999716,216.82,21.54246,23.450857451862547,1.9083974518625482,8.858772173013426
14,standard_dp,规划后：标准 DP,15,柳隘-海晏北路,class3,92.0,91.95,-0.04999999999999716,216.94,11.55291,11.823575858826189,0.2706658588261881,2.342837075907179
14,standard_dp,规划后：标准 DP,16,海晏北路-民安东路,class3,85.0,85.0,0.0,218.22,14.894440000000001,14.706381112139814,-0.18805888786018699,-1.262611335909151
14,standard_dp,规划后：标准 DP,17,民安东路-会展中心,class2,76.0,76.0,0.0,218.42,15.31858,17.467522774024264,2.1489427740242633,14.028341883022208
14,standard_dp,规划后：标准 DP,18,会展中心-院士路,class3,115.0,115.0,0.0,218.52,15.09691,15.515873281255304,0.418963281255305,2.7751591634003585
14,standard_dp,规划后：标准 DP,19,院士路-盎孟港,class3,91.0,90.95,-0.04999999999999716,217.92,18.05219,17.328369521697276,-0.7238204783027236,-4.0095992691342355
14,standard_dp,规划后：标准 DP,20,盎孟港-三官堂,class2,132.0,132.0,0.0,217.52,17.75414,17.33378303004774,-0.4203569699522589,-2.3676560506578124
14,standard_dp,规划后：标准 DP,21,三官堂-兴庄路,class2,99.0,99.0,0.0,216.74,11.62832,11.91138089325074,0.2830608932507399,2.4342372178503853
14,standard_dp,规划后：标准 DP,22,兴庄路-兴海南路,class2,87.0,86.95,-0.04999999999999716,215.74,15.872819999999999,17.728526542040203,1.8557065420402044,11.691095482971548
14,standard_dp,规划后：标准 DP,23,兴海南路-梅堰,class3,82.0,81.95,-0.04999999999999716,215.54,11.32626,11.729860602309312,0.4036006023093126,3.5634057695065504
