segment,区段,列车运行方向,运行等级,曲线质量标签,是否是晚上八点以后的趟次,起始时刻s,结束时刻s,来源文件,运行时长s
31,张家潭-布政,DOWN,class5,0,0,0.0,124.85,results_张家潭-布政.xlsx,124.85
32,张家潭-布政,DOWN,class5,1,1,0.0,124.25,results_张家潭-布政.xlsx,124.25
0,石碶-同德路,DOWN,class4,0,0,0.0,111.65,results_石碶-同德路.xlsx,111.65
1,石碶-同德路,DOWN,class3,0,0,0.0,110.85,results_石碶-同德路.xlsx,110.85
2,石碶-同德路,DOWN,class5,0,0,0.0,118.85,results_石碶-同德路.xlsx,118.85
3,石碶-同德路,DOWN,class5,0,0,0.0,117.7,results_石碶-同德路.xlsx,117.7
4,石碶-同德路,DOWN,class5,0,0,0.0,118.15,results_石碶-同德路.xlsx,118.15
5,石碶-同德路,DOWN,class4,0,0,0.0,112.8,results_石碶-同德路.xlsx,112.8
6,石碶-同德路,DOWN,class5,1,1,0.0,118.55,results_石碶-同德路.xlsx,118.55
7,石碶-同德路,DOWN,class4,0,0,0.0,112.75,results_石碶-同德路.xlsx,112.75
8,石碶-同德路,DOWN,class5,0,0,0.0,119.25,results_石碶-同德路.xlsx,119.25
9,石碶-同德路,DOWN,class5,0,0,0.0,118.1,results_石碶-同德路.xlsx,118.1
10,石碶-同德路,DOWN,class5,0,0,0.0,117.9,results_石碶-同德路.xlsx,117.9
11,石碶-同德路,DOWN,class5,0,0,0.0,118.5,results_石碶-同德路.xlsx,118.5
12,石碶-同德路,DOWN,class4,0,0,0.0,113.15,results_石碶-同德路.xlsx,113.15
13,石碶-同德路,DOWN,class5,1,1,0.0,118.1,results_石碶-同德路.xlsx,118.1
14,石碶-同德路,DOWN,class4,0,0,0.0,112.45,results_石碶-同德路.xlsx,112.45
15,石碶-同德路,DOWN,class4,0,0,0.0,113.45,results_石碶-同德路.xlsx,113.45
16,石碶-同德路,DOWN,class4,0,0,0.0,113.8,results_石碶-同德路.xlsx,113.8
17,石碶-同德路,DOWN,class5,1,1,0.0,117.55,results_石碶-同德路.xlsx,117.55
18,石碶-同德路,DOWN,class4,0,0,0.0,112.95,results_石碶-同德路.xlsx,112.95
19,石碶-同德路,DOWN,class3,0,0,0.0,109.7,results_石碶-同德路.xlsx,109.7
20,石碶-同德路,DOWN,class4,0,0,0.0,112.65,results_石碶-同德路.xlsx,112.65
21,石碶-同德路,DOWN,class5,0,0,0.0,118.3,results_石碶-同德路.xlsx,118.3
22,石碶-同德路,DOWN,class5,0,0,0.0,117.55,results_石碶-同德路.xlsx,117.55
23,石碶-同德路,DOWN,class5,0,0,0.0,118.05,results_石碶-同德路.xlsx,118.05
24,石碶-同德路,DOWN,class4,0,0,0.0,112.65,results_石碶-同德路.xlsx,112.65
25,石碶-同德路,DOWN,class5,1,1,0.0,118.2,results_石碶-同德路.xlsx,118.2
26,石碶-同德路,DOWN,class5,0,0,0.0,120.9,results_石碶-同德路.xlsx,120.9
27,石碶-同德路,DOWN,class5,0,0,0.0,118.5,results_石碶-同德路.xlsx,118.5
28,石碶-同德路,DOWN,class5,0,0,0.0,117.7,results_石碶-同德路.xlsx,117.7
29,石碶-同德路,DOWN,class5,0,0,0.0,118.3,results_石碶-同德路.xlsx,118.3
30,石碶-同德路,DOWN,class5,0,0,0.0,119.4,results_石碶-同德路.xlsx,119.4
31,石碶-同德路,DOWN,class5,0,0,0.0,117.7,results_石碶-同德路.xlsx,117.7
32,石碶-同德路,DOWN,class5,1,1,0.0,118.2,results_石碶-同德路.xlsx,118.2
0,石碶-雅渡,UP,class2,0,0,0.0,79.25,results_石碶-雅渡.xlsx,79.25
1,石碶-雅渡,UP,class2,0,0,0.0,79.15,results_石碶-雅渡.xlsx,79.15
2,石碶-雅渡,UP,class3,0,0,0.0,83.45,results_石碶-雅渡.xlsx,83.45
3,石碶-雅渡,UP,class2,0,0,0.0,79.0,results_石碶-雅渡.xlsx,79.0
4,石碶-雅渡,UP,class3,0,0,0.0,82.0,results_石碶-雅渡.xlsx,82.0
5,石碶-雅渡,UP,class2,0,0,0.0,79.45,results_石碶-雅渡.xlsx,79.45
6,石碶-雅渡,UP,class3,1,1,0.0,83.85,results_石碶-雅渡.xlsx,83.85
7,石碶-雅渡,UP,class2,0,0,0.0,78.6,results_石碶-雅渡.xlsx,78.6
8,石碶-雅渡,UP,class2,0,0,0.0,78.15,results_石碶-雅渡.xlsx,78.15
9,石碶-雅渡,UP,class3,0,0,0.0,81.8,results_石碶-雅渡.xlsx,81.8
10,石碶-雅渡,UP,class2,0,0,0.0,78.95,results_石碶-雅渡.xlsx,78.95
11,石碶-雅渡,UP,class2,0,0,0.0,78.15,results_石碶-雅渡.xlsx,78.15
12,石碶-雅渡,UP,class2,0,0,0.0,78.55,results_石碶-雅渡.xlsx,78.55
13,石碶-雅渡,UP,class3,0,0,0.0,83.75,results_石碶-雅渡.xlsx,83.75
14,石碶-雅渡,UP,class2,1,1,0.0,78.8,results_石碶-雅渡.xlsx,78.8
15,石碶-雅渡,UP,class2,0,0,0.0,78.45,results_石碶-雅渡.xlsx,78.45
16,石碶-雅渡,UP,class3,0,0,0.0,82.65,results_石碶-雅渡.xlsx,82.65
17,石碶-雅渡,UP,class4,0,0,0.0,85.05,results_石碶-雅渡.xlsx,85.05
18,石碶-雅渡,UP,class4,1,1,0.0,87.55,results_石碶-雅渡.xlsx,87.55
19,石碶-雅渡,UP,class2,0,0,0.0,80.95,results_石碶-雅渡.xlsx,80.95
20,石碶-雅渡,UP,class3,0,0,0.0,81.3,results_石碶-雅渡.xlsx,81.3
21,石碶-雅渡,UP,class3,0,0,0.0,83.8,results_石碶-雅渡.xlsx,83.8
22,石碶-雅渡,UP,class3,0,0,0.0,83.65,results_石碶-雅渡.xlsx,83.65
23,石碶-雅渡,UP,class3,0,0,0.0,84.0,results_石碶-雅渡.xlsx,84.0
24,石碶-雅渡,UP,class3,0,0,0.0,84.0,results_石碶-雅渡.xlsx,84.0
25,石碶-雅渡,UP,class4,0,0,0.0,84.15,results_石碶-雅渡.xlsx,84.15
26,石碶-雅渡,UP,class1,1,1,0.0,75.8,results_石碶-雅渡.xlsx,75.8
27,石碶-雅渡,UP,class3,0,0,0.0,83.6,results_石碶-雅渡.xlsx,83.6
28,石碶-雅渡,UP,class3,0,0,0.0,82.2,results_石碶-雅渡.xlsx,82.2
29,石碶-雅渡,UP,class3,0,0,0.0,82.2,results_石碶-雅渡.xlsx,82.2
30,石碶-雅渡,UP,class3,0,0,0.0,82.05,results_石碶-雅渡.xlsx,82.05
31,石碶-雅渡,UP,class2,0,0,0.0,79.2,results_石碶-雅渡.xlsx,79.2
32,石碶-雅渡,UP,class3,0,0,0.0,81.4,results_石碶-雅渡.xlsx,81.4
33,石碶-雅渡,UP,class1,1,1,0.0,76.65,results_石碶-雅渡.xlsx,76.65
0,雅渡-庙堰,UP,class3,0,0,0.0,133.7,results_雅渡-庙堰.xlsx,133.7
1,雅渡-庙堰,UP,class4,0,0,0.0,136.4,results_雅渡-庙堰.xlsx,136.4
2,雅渡-庙堰,UP,class3,0,0,0.0,131.1,results_雅渡-庙堰.xlsx,131.1
3,雅渡-庙堰,UP,class4,0,0,0.0,136.85,results_雅渡-庙堰.xlsx,136.85
4,雅渡-庙堰,UP,class2,0,0,0.0,130.05,results_雅渡-庙堰.xlsx,130.05
5,雅渡-庙堰,UP,class3,0,0,0.0,133.95,results_雅渡-庙堰.xlsx,133.95
6,雅渡-庙堰,UP,class3,1,1,0.0,131.15,results_雅渡-庙堰.xlsx,131.15
7,雅渡-庙堰,UP,class3,0,0,0.0,134.0,results_雅渡-庙堰.xlsx,134.0
