section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
2,张家潭-同德路,37,38,07/0670637,0,3022,auto,65.03,64.5858,64.02,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,38,39,07/0670638,0,3023,auto,65,64.64,64.11,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,39,40,07/0670639,0,2987,auto,65.03,64.92,64.84,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,40,41,07/0670640,1,2992,auto,62.61,62.46,62.15,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,41,42,07/0870841,0,3017,auto,65.15,64.93,64.81,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,42,43,07/0870842,0,3011,auto,66.26,65.919,65.47,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,43,44,07/0870843,0,3012,auto,66.36,66.0589,65.47,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,44,45,07/0870844,0,3003,auto,66.27,65.9392,65.39,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,45,46,07/0870845,0,3032,auto,64.96,64.82,64.7,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,46,47,07/0870846,0,3032,auto,64.95,64.85,64.77,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,47,48,07/0870847,1,3034,auto,65.17,64.8067,64.6635,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
